email,label
"Make money online easily",spam
"Reminder: team meeting at 11 AM",ham
"Claim your instant cash prize",spam
"Please approve the new schedule",ham
"Exclusive access to premium deals",spam
"Team presentation scheduled for Friday",ham
"Earn money fast from home",spam
"Confirm meeting with the client",ham
"Congratulations! You've won a prize",spam
"Prepare agenda for the weekly call",ham
"Hot deals on travel packages",spam
"Send me the latest sales figures",ham
"Claim your reward card now",spam
"Team brainstorming session tomorrow",ham
"Get paid for completing simple tasks",spam
"Review the marketing strategy document",ham
"Free subscription available today",spam
"Don't forget to update your profile",ham
"Win exclusive gifts instantly",spam
"Please check the attached files",ham
"Make extra income online",spam
"Team meeting minutes attached",ham
"Congratulations! You've been selected",spam
"Confirm the project deadline",ham
"Special offer: buy electronics today",spam
"Send client proposal draft",ham
"Earn rewards easily online",spam
"Prepare presentation slides",ham
"Cash bonus available for you",spam
"Review the new policy document",ham
"Free trial subscription for premium service",spam
"Please attend the training session",ham
"Win big prizes instantly",spam
"Schedule team meeting for Monday",ham
"Make money from home quickly",spam
"Send me the project update",ham
"Claim your free voucher now",spam
"Review client feedback attached",ham
"Exclusive cash rewards for members",spam
"Prepare report for submission",ham
"Hot discounts on fashion items",spam
"Check team availability for meeting",ham
"Congratulations! You won a prize",spam
"Send presentation for review",ham
"Earn money online easily today",spam
"Confirm attendance for team call",ham
"Free gift card available now",spam
"Prepare slides for next meeting",ham
"Win a shopping spree instantly",spam
"Send financial report",ham
"Make extra cash from home",spam
"Review marketing plan attached",ham
"Claim your prize today",spam
"Prepare weekly report",ham
"Limited offer: free subscription",spam
"Check latest project updates",ham
"Earn fast money online",spam
"Send client feedback summary",ham
"Win free tickets to the event",spam
"Prepare agenda for next week",ham
"Exclusive deals on electronics",spam
"Team update: finalize budget",ham
"Claim cash rewards now",spam
"Please review contract draft",ham
"Hot sale on gadgets today",spam
"Prepare presentation for client",ham
"Congratulations! You've been selected",spam
"Send monthly report",ham
"Earn money with simple online tasks",spam
"Confirm training session timing",ham
"Win exclusive prizes today",spam
"Prepare project proposal",ham
"Free rewards for new subscribers",spam
"Check team tasks for tomorrow",ham
"Claim instant cash prize",spam
"Prepare financial summary",ham
"Make money online fast",spam
"Review latest client notes",ham
"Congratulations! You are our lucky winner",spam
"Send weekly update",ham
"Exclusive online offer available",spam
"Team meeting scheduled for Friday",ham
"Earn cash quickly from home",spam
"Check updated project plan",ham
"Win free gift cards instantly",spam
"Prepare client presentation",ham
"Hot deals on online shopping",spam
"Send minutes of the meeting",ham
"Claim bonus rewards now",spam
"Finalize team report",ham
"Make fast money online",spam
"Review marketing campaign",ham
"Congratulations! Claim your reward",spam
"Check training schedule",ham
"Limited time offer: free subscription",spam
"Send client proposal",ham
"Earn rewards online easily",spam
"Prepare slides for management review",ham
"Win cash prizes instantly",spam
"Confirm project completion",ham
"Exclusive deals on software today",spam
"Review quarterly performance",ham
"Claim free shopping voucher now",spam
"Prepare team agenda",ham
"Make money online in few days",spam
"Send presentation slides",ham
"Congratulations! You won exclusive prizes",spam
"Finalize client report",ham
"Earn money fast online today",spam
"Check weekly tasks",ham
"Win free membership instantly",spam
"Prepare financial report for submission",ham
"Hot offers on electronics today",spam
"Send minutes from team meeting",ham
"Claim instant reward card",spam
"Review budget proposal",ham
"Make extra income online easily",spam
"Prepare presentation for client review",ham
"Congratulations! Claim your free gift",spam
"Confirm team availability",ham
"Earn money from home quickly",spam
"Check latest project updates",ham
"Win big prizes now",spam
"Prepare slides for team meeting",ham
"Exclusive discount available today",spam
"Send weekly client update",ham
"Claim rewards now",spam
"Review team report",ham
"Hot deals on travel today",spam
"Prepare client presentation slides",ham
"Make fast money online easily",spam
"Send project update to manager",ham
"Congratulations! You are a winner",spam
"Check team schedule",ham
"Earn rewards from completing online tasks",spam
"Prepare financial summary report",ham
"Win free products instantly",spam
"Send client report",ham
